Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Age,Item_Visibility_MeanRatio
9.3,Low Fat,0.016047301,Dairy,249.8092,Medium,Tier 1,Supermarket Type1,3735.138,14,0.9229596700085656
5.92,Regular,0.019278216,Soft Drinks,48.2692,Medium,Tier 3,Supermarket Type2,443.4228,4,1.0030565792305357
17.5,Low Fat,0.016760075,Meat,141.618,Medium,Tier 1,Supermarket Type1,2097.27,14,0.8319896179620336
19.2,Regular,0.022910510000000002,Fruits and Vegetables,182.095,Small,Tier 3,Grocery Store,732.38,15,1.0000000000000002
8.93,Low Fat,0.016164306,Household,53.8614,High,Tier 3,Supermarket Type1,994.7052,26,1.0
10.395,Regular,0.091392321,Baking Goods,51.4008,Medium,Tier 3,Supermarket Type2,556.6088,4,1.0
13.65,Regular,0.012741089,Snack Foods,57.6588,High,Tier 3,Supermarket Type1,343.5528,26,0.8983184865910457
19.0,Low Fat,0.127469857,Snack Foods,107.7622,Medium,Tier 3,Supermarket Type3,4022.7636,28,0.9946778305578745
16.2,Regular,0.016687114,Frozen Foods,96.9726,Small,Tier 2,Supermarket Type1,1076.5986,11,0.90399742766201
19.2,Regular,0.09444959,Frozen Foods,187.8214,Small,Tier 2,Supermarket Type1,4710.535,6,0.8736089527619524
11.8,Low Fat,0.12187957333333332,Fruits and Vegetables,45.5402,Medium,Tier 1,Supermarket Type1,1516.0266,14,1.0
18.5,Regular,0.045463773,Dairy,144.1102,Small,Tier 1,Supermarket Type1,2187.153,16,0.8818847647466177
15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,Medium,Tier 1,Supermarket Type1,1589.2646,14,0.8884289224882886
17.6,Regular,0.047257328,Snack Foods,119.6782,Small,Tier 1,Supermarket Type1,2145.2076,16,0.8677308071633344
16.35,Low Fat,0.0680243,Fruits and Vegetables,196.4426,High,Tier 3,Supermarket Type1,1977.426,26,0.8156492370746403
9.0,Regular,0.069088961,Breakfast,56.3614,Small,Tier 1,Supermarket Type1,1547.3192,16,0.8890497102547412
11.8,Low Fat,0.008596051,Health and Hygiene,115.3492,Medium,Tier 3,Supermarket Type2,1621.8888,4,1.0030881886774816
9.0,Regular,0.069196376,Breakfast,54.3614,Medium,Tier 1,Supermarket Type1,718.3982,14,0.890431946624268
8.26,Low Fat,0.034237682,Hard Drinks,113.2834,Medium,Tier 3,Supermarket Type3,2303.668,28,0.8266123043984333
13.35,Low Fat,0.10249212,Dairy,230.5352,Small,Tier 2,Supermarket Type1,2748.4224,9,0.901997196075441
18.85,Regular,0.138190277,Snack Foods,250.8724,High,Tier 3,Supermarket Type1,3775.086,26,0.9964460714177477
8.315,Regular,0.035399923,Baking Goods,144.5444,Medium,Tier 3,Supermarket Type3,4064.0432,28,0.9073565158740483
14.6,Low Fat,0.025698134,Household,196.5084,Small,Tier 2,Supermarket Type1,1587.2672,9,0.8308792770612932
15.5,Low Fat,0.057556998,Baking Goods,107.6938,Small,Tier 1,Grocery Store,214.3876,28,1.4001017843082437
13.85,Regular,0.025896485,Frozen Foods,165.021,Small,Tier 1,Supermarket Type1,4078.025,16,0.9977857938893345
13.0,Low Fat,0.099887103,Household,45.906,Small,Tier 2,Supermarket Type1,838.908,6,1.0035584629112675
7.645,Regular,0.066693437,Snack Foods,42.3112,Small,Tier 2,Supermarket Type1,1065.28,9,0.7984991073649502
11.65,Low Fat,0.019356132,Hard Drinks,39.1164,High,Tier 3,Supermarket Type1,308.9312,26,0.8800843987725971
5.925,Regular,0.161466534,Dairy,45.5086,Small,Tier 3,Grocery Store,178.4344,15,1.390779585451742
14.5,Regular,0.072221801,Canned,43.6454,Small,Tier 1,Grocery Store,125.8362,28,1.4545219745877407
19.25,Low Fat,0.170348551,Dairy,55.7956,Small,Tier 3,Grocery Store,163.7868,15,1.4440173570865154
18.6,Low Fat,0.080829372,Health and Hygiene,96.4436,Medium,Tier 3,Supermarket Type2,2741.7644,4,1.002948273918814
18.7,Low Fat,0.1026783142,Snack Foods,256.6672,Medium,Tier 3,Supermarket Type2,3068.0064,4,0.9999999999999999
17.85,Low Fat,0.1648463765,Breads,93.1436,Small,Tier 2,Supermarket Type1,2174.5028,11,0.9999999999999998
17.5,Low Fat,0.097904029,Soft Drinks,174.8738,Small,Tier 1,Supermarket Type1,2085.2856,16,0.8690040989458369
10.0,Low Fat,0.089291137,Health and Hygiene,146.7102,Medium,Tier 1,Supermarket Type1,3791.0652,14,0.8494155173620084
20.2,Regular,0.059511812,Fruits and Vegetables,128.0678,Medium,Tier 3,Supermarket Type3,2797.6916,28,0.8268929615176921
8.85,Regular,0.113123893,Soft Drinks,122.5388,Medium,Tier 3,Supermarket Type2,1609.9044,4,1.0027970103240023
6.385,Regular,0.123111453,Snack Foods,36.9874,Medium,Tier 3,Supermarket Type3,388.1614,28,0.9944509267341656
15.25,Low Fat,0.026480954,Snack Foods,87.6198,Medium,Tier 3,Supermarket Type3,2180.495,28,0.9067994382722705
13.35,Low Fat,0.102511504,Dairy,230.6352,Small,Tier 1,Supermarket Type1,3435.528,16,0.9021677878599482
9.8,Low Fat,0.02681843,Meat,126.002,High,Tier 3,Supermarket Type1,2150.534,26,0.886395893739413
13.6,Low Fat,0.117818348,Snack Foods,192.9136,Medium,Tier 1,Supermarket Type1,2527.3768,14,1.0009916175079747
21.35,Low Fat,0.069102831,Canned,259.9278,Medium,Tier 3,Supermarket Type2,6768.5228,4,0.9029432247464673
12.15,Regular,0.042277867,Canned,126.5046,High,Tier 3,Supermarket Type1,373.5138,26,0.9965636795510625
6.42,Low Fat,0.089498926,Dairy,178.1002,Small,Tier 3,Grocery Store,358.2004,15,1.4750345089700512
19.6,Low Fat,0.028135430666666666,Health and Hygiene,153.3024,Small,Tier 2,Supermarket Type1,2428.8384,11,1.0
10.0,Low Fat,0.025879577,Canned,265.2226,Small,Tier 2,Supermarket Type1,5815.0972,11,1.001589882218445
15.85,Regular,0.121632721,Baking Goods,60.622,Small,Tier 1,Supermarket Type1,2576.646,16,0.8703209432274565
10.195,Regular,0.255394896,Dairy,196.8794,Small,Tier 1,Grocery Store,780.3176,28,1.4719131741524436
7.39,Low Fat,0.067779712,Health and Hygiene,143.8812,Small,Tier 1,Supermarket Type1,3134.5864,16,0.9976204487568417
10.195,Low Fat,0.159803853,Frozen Foods,141.5154,High,Tier 3,Supermarket Type1,850.8924,26,0.9995837409564755
9.895,Regular,0.028696932,Canned,117.0492,High,Tier 3,Supermarket Type1,810.9444,26,0.9975729965176114
10.895,Low Fat,0.065041581,Fruits and Vegetables,196.3794,Small,Tier 2,Supermarket Type1,3121.2704,6,0.8855960961324091
12.15,Low Fat,0.028760013,Household,151.4708,Small,Tier 2,Supermarket Type1,4815.0656,6,1.0044681048166684
7.905,Low Fat,0.010053105,Snack Foods,249.0408,Medium,Tier 3,Supermarket Type2,6258.52,4,0.9151200106675108
9.195,Low Fat,0.048157338,Household,106.1622,Small,Tier 2,Supermarket Type1,2117.244,11,0.9135444048667141
8.365,Low Fat,0.071958197,Hard Drinks,38.0506,Medium,Tier 1,Supermarket Type1,796.9626,14,0.84977679669688
15.1,Low Fat,0.173481304,Snack Foods,194.511,Small,Tier 1,Supermarket Type1,4910.275,16,0.8424499756838365
5.94,Low Fat,0.061082177,Canned,180.0344,Small,Tier 1,Grocery Store,892.172,28,1.5795664691579507
10.0,Low Fat,0.03874801133333333,Fruits and Vegetables,246.9144,Medium,Tier 3,Supermarket Type2,3185.1872,4,1.0
7.97,Regular,0.040071131,Meat,87.3514,Small,Tier 2,Supermarket Type1,1062.6168,11,0.7997977402469444
6.215,Low Fat,0.012090074,Fruits and Vegetables,38.2848,Medium,Tier 3,Supermarket Type3,484.7024,28,0.9948602766106077
15.5,Regular,0.15028599,Frozen Foods,51.0692,Small,Tier 1,Grocery Store,147.8076,28,1.413215232108333
17.5,Low Fat,0.026015519,Snack Foods,255.8356,Medium,Tier 3,Supermarket Type3,2543.356,28,0.9934744522878203
17.7,Low Fat,0.195068226,Snack Foods,185.4266,Small,Tier 3,Grocery Store,184.4266,15,1.526559956581351
19.35,Low Fat,0.033082215,Meat,172.5738,Small,Tier 2,Supermarket Type1,4865.6664,9,0.9025033636908054
13.65,Regular,0.078946455,Dairy,186.024,Small,Tier 2,Supermarket Type1,1118.544,11,0.8569143454350513
17.6,Low Fat,0.041700756,Soft Drinks,164.8526,Small,Tier 2,Supermarket Type1,2302.3364,11,0.8894938822861084
8.645,Low Fat,0.143422643,Health and Hygiene,95.841,Small,Tier 1,Supermarket Type1,2027.361,16,0.9989871435433431
15.6,Regular,0.105296072,Snack Foods,170.1764,Small,Tier 1,Supermarket Type1,3435.528,16,0.8484883858774449
15.85,Regular,0.121531501,Baking Goods,59.222,High,Tier 3,Supermarket Type1,599.22,26,0.8695966818186084
18.25,Low Fat,0.068386192,Starchy Foods,164.7526,Small,Tier 2,Supermarket Type1,4604.6728,11,1.0
7.855,Low Fat,0.011324862,Canned,189.6188,Small,Tier 2,Supermarket Type1,2285.0256,6,0.8736089180195864
7.825,Low Fat,0.186357148,Household,254.3698,Medium,Tier 1,Supermarket Type1,5580.7356,14,0.8891724963706636
8.39,Regular,0.024205661,Frozen Foods,114.0176,Small,Tier 1,Supermarket Type1,2290.352,16,0.9992261936164709
12.85,Low Fat,0.033230816,Snack Foods,172.3422,Medium,Tier 1,Supermarket Type1,1207.0954,14,0.9043192954878387
13.35,Low Fat,0.113720344,Baking Goods,89.9804,Small,Tier 1,Grocery Store,643.1628,28,1.5219827105910262
19.0,Low Fat,0.112556507,Frozen Foods,104.9622,Small,Tier 2,Supermarket Type1,1587.933,6,1.0054306358168554
5.905,Low Fat,0.054276717,Canned,222.5456,Small,Tier 2,Supermarket Type1,5305.0944,11,0.9999999999999999
7.76,Low Fat,0.059352241,Snack Foods,101.87,Small,Tier 1,Supermarket Type1,1697.79,16,0.8881058706122894
11.8,Regular,0.014087057,Frozen Foods,180.3344,Small,Tier 1,Supermarket Type1,1427.4752,16,0.9989871411508207
16.75,Low Fat,0.045230944,Snack Foods,187.9556,Medium,Tier 3,Supermarket Type2,4693.89,4,0.9065714951294783
18.85,Low Fat,0.293417759,Household,194.6136,Small,Tier 1,Grocery Store,583.2408,28,1.5791630222747792
12.6,Regular,0.031382044,Baking Goods,171.3764,Medium,Tier 3,Supermarket Type3,3091.9752,28,0.8836739937983247
15.5,Regular,0.12639886,Fruits and Vegetables,177.0028,Small,Tier 2,Supermarket Type1,2479.4392,6,0.8843963035953681
6.055,Low Fat,0.025403898,Fruits and Vegetables,160.992,Small,Tier 2,Supermarket Type1,2716.464,9,0.9986913188770223
20.2,Regular,0.039057677,Breakfast,155.963,Medium,Tier 3,Supermarket Type3,3285.723,28,0.8652260114281756
6.305,Regular,0.123115764,Snack Foods,95.6436,Small,Tier 1,Supermarket Type1,661.8052,16,1.0010310559959184
20.85,Low Fat,0.039624006,Meat,117.2808,Medium,Tier 1,Supermarket Type1,1523.3504,14,1.0027168551378793
20.75,Low Fat,0.040421193,Fruits and Vegetables,122.173,Small,Tier 3,Grocery Store,369.519,15,1.4342927846122455
8.895,Low Fat,0.105274111,Dairy,39.9138,Medium,Tier 1,Supermarket Type1,690.4346,14,0.8426244549671006
19.6,Low Fat,0.033970195,Soft Drinks,55.1614,Small,Tier 2,Supermarket Type1,1381.535,11,0.9136209138602582
19.7,Low Fat,0.053212652,Fruits and Vegetables,57.893,Small,Tier 2,Supermarket Type1,622.523,9,0.921352677093045
9.8,Low Fat,0.024378706,Health and Hygiene,114.5492,Small,Tier 2,Supermarket Type1,1274.3412,9,0.9988296793150883
7.93,Low Fat,0.009714595,Frozen Foods,120.0414,Small,Tier 1,Grocery Store,487.3656,28,1.3998618956692677
12.15,Low Fat,0.131383762,Frozen Foods,246.046,Medium,Tier 1,Supermarket Type1,1231.73,14,1.0001428335821854
8.75,Regular,0.07461309,Fruits and Vegetables,187.4556,Small,Tier 2,Supermarket Type1,3755.112,9,0.998706498198674
12.15,Low Fat,0.028459761,Household,149.9708,Medium,Tier 3,Supermarket Type3,4363.6532,28,0.9939815463645768
8.75,Regular,0.074627201,Fruits and Vegetables,187.8556,Small,Tier 1,Supermarket Type1,1314.2892,16,0.998895375879468
13.3,Low Fat,0.063695084,Frozen Foods,151.0708,Small,Tier 2,Supermarket Type1,1805.6496,11,1.000657479038771
20.6,Regular,0.045797829,Snack Foods,178.5344,Medium,Tier 3,Supermarket Type3,2854.9504,28,0.8938702847636193
8.31,Regular,0.115857223,Snack Foods,179.1028,Medium,Tier 1,Supermarket Type1,3896.2616,14,0.9982324309955884
16.75,Regular,0.024832806,Soft Drinks,38.7822,High,Tier 3,Supermarket Type1,667.7974,26,0.898109247002587
19.75,Low Fat,0.034027909,Snack Foods,212.0902,Medium,Tier 3,Supermarket Type2,3185.853,4,0.8728846682169278
17.1,Regular,0.0467696,Canned,141.1838,High,Tier 3,Supermarket Type1,2247.7408,26,0.8293743935342626
10.5,Regular,0.116576702,Baking Goods,163.121,High,Tier 3,Supermarket Type1,1794.331,26,0.9983581023554075
6.635,Regular,0.0063362950000000005,Baking Goods,121.3098,Small,Tier 2,Supermarket Type1,2530.7058,11,1.0000000000000002
9.395,Low Fat,0.278974075,Soft Drinks,225.372,Small,Tier 1,Grocery Store,679.116,28,1.554236934407836
14.15,Low Fat,0.035913805,Soft Drinks,41.4138,High,Tier 3,Supermarket Type1,812.276,26,0.9989435064117139
13.3,Low Fat,0.079806266,Dairy,232.53,Small,Tier 1,Supermarket Type1,699.09,16,0.9982612829610846
8.89,Low Fat,0.005505481,Frozen Foods,102.4016,Small,Tier 2,Supermarket Type1,2732.4432,6,0.8530289760479389
6.69,Regular,0.064625342,Meat,176.937,Small,Tier 1,Grocery Store,176.437,28,1.5225195146742825
6.195,Low Fat,0.071636937,Snack Foods,121.7098,Medium,Tier 3,Supermarket Type3,4097.3332,28,0.99472231242595
9.1,Regular,0.10004742100000001,Breads,173.2054,Small,Tier 2,Supermarket Type1,3151.8972,11,1.0000000000000002
7.5,Low Fat,0.032677678,Frozen Foods,239.0906,Medium,Tier 1,Supermarket Type1,5942.265,14,0.8993036107628771
16.85,Regular,0.160760054,Frozen Foods,192.4478,Small,Tier 2,Supermarket Type1,4843.695,6,0.8127109130444516
7.485,Low Fat,0.06911065,Snack Foods,109.0228,Small,Tier 2,Supermarket Type1,2542.0244,9,0.997045204761887
11.6,Low Fat,0.041177505,Soft Drinks,140.3154,Small,Tier 2,Supermarket Type1,2552.6772,6,0.859041117465334
11.65,Low Fat,0.040081193,Snack Foods,227.0694,Medium,Tier 3,Supermarket Type2,1141.847,4,1.000310840835566
13.0,Low Fat,0.035307322,Household,47.5034,Small,Tier 2,Supermarket Type1,680.4476,6,0.8737352885509778
12.65,Low Fat,0.063017847,Soft Drinks,159.0578,Small,Tier 2,Supermarket Type1,2085.9514,11,0.8994150084567096
20.25,Regular,0.171938781,Canned,92.512,Small,Tier 3,Grocery Store,186.424,15,1.5045652599876402
8.6,Regular,0.040197932,Canned,190.153,Small,Tier 2,Supermarket Type1,3036.048,9,0.9981035677346621
12.6,Low Fat,0.049058014,Breads,62.7194,Small,Tier 2,Supermarket Type1,866.8716,6,1.0045293329709672
17.7,Low Fat,0.01161096,Frozen Foods,95.041,Small,Tier 2,Supermarket Type1,868.869,9,0.898836671733591
14.15,Low Fat,0.183507295,Soft Drinks,82.4276,Small,Tier 1,Supermarket Type1,1137.1864,16,0.9985240537514383
19.25,Low Fat,0.102349519,Dairy,52.7956,Small,Tier 2,Supermarket Type1,928.1252,6,0.8676004642120854
8.88,Low Fat,0.086708987,Hard Drinks,151.7682,High,Tier 3,Supermarket Type1,762.341,26,0.9995478273766462
20.5,Low Fat,0.032835147,Household,40.2822,Small,Tier 2,Supermarket Type1,707.0796,11,1.001464650108189
12.0,Low Fat,0.033809913,Canned,180.5976,Medium,Tier 3,Supermarket Type3,7968.2944,28,0.994350983707695
13.5,Low Fat,0.07266912,Household,160.292,Small,Tier 1,Supermarket Type1,1438.128,16,0.8082214567844889
